Source,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,pmDE,Gmag,BPmag,RPmag,BP-RP,RV,distancia_pc
4165071645134231936,264.94950714988,-9.52697534821,5.0,1.0247,19.845,1.938,20.427282,21.479973,18.980034,2.499939,,200.0
4078365365086028416,280.29703069919,-23.43544623813,5.0,0.9388,-8.395,-6.376,20.121367,20.634893,19.168327,1.466566,,200.0
4053338796833458304,264.14062209256,-34.82201017311,5.0,0.9407,0.611,-1.729,20.15942,,,,,200.0
85457892001872000,42.2735201025,21.23849747059,5.0,0.1682,-45.117,-41.223,18.027079,19.327946,16.842323,2.485622,,200.0
6702268805824338304,274.92203531023,-50.97719306612,5.0,0.0144,10.509,-15.459,11.918877,12.319131,11.352124,0.967007,-14.67,200.0
4043636981083110400,268.69482263913,-31.93800861786,5.0,1.5472,-9.435,-5.098,19.957098,,,,,200.0
5980297005418931456,258.55661149676,-32.19882446819,5.0,1.0415,-2.187,-8.017,19.165562,18.769114,17.24063,1.528484,,200.0
2295269559942880128,294.05650118973,80.95385888384,5.0,0.0129,15.621,10.208,14.040513,14.843112,13.166821,1.67629,6.11,200.0
5834712423149804032,241.08889752904,-59.46918741662,5.0,0.2189,-28.088,-21.987,18.142717,,,,,200.0
138914876034988672,46.37807458467,35.92452802441,5.0,0.1754,31.635,-16.18,18.19766,20.195324,16.94987,3.245455,,200.0
2921046157535466368,104.32527905798,-25.51696214584,5.0,0.7704,-15.822,10.054,19.969744,20.617722,18.29038,2.327341,,200.0
4943141327700869888,32.495089511,-46.2614054298,5.0,0.0164,67.044,32.381,11.190912,11.519081,10.697988,0.821094,10.74,200.0
6806584735284468864,310.44941038192,-23.89095211882,5.0,0.1071,42.606,-31.23,17.514091,19.04848,16.298714,2.749765,,200.0
5930199201184305152,249.57888384667,-55.11589397535,5.0,1.2373,-6.711,3.027,20.36464,20.713867,19.170925,1.542942,,200.0
4097115405634796672,277.04551704295,-16.26561358848,5.0,1.1681,-6.074,-6.725,20.362698,21.491913,18.264654,3.227259,,200.0
4048809221256417536,272.60856200179,-32.29130502113,5.0,1.6927,-3.997,-7.383,19.901981,,,,,200.0
147678675197944064,70.18244738165,24.56828429793,5.0,0.0402,-33.472,-36.161,15.486176,17.04717,14.290046,2.757125,-6.62,200.0
